,0,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
361,khatanga,Khatanga,RU,11.85,71.98,102.47,81.0,88.0,10.0
362,nanfeng,Nanfeng,CN,73.77,27.22,116.52,75.0,24.0,12.01
363,ayan,Ayan,TR,22.74,40.67,33.6,67.0,0.0,2.17
364,corinto,Corinto,BR,70.17,-18.36,-44.46,96.0,32.0,2.84
365,shar,Shar,NG,80.16,7.3,8.73,71.0,20.0,13.47
366,nalut,Nalut,LY,49.65,31.86,10.98,89.0,80.0,12.01
367,bairiki,,,,,,,,
368,san pedro de macoris,San Pedro de Macoris,DO,75.02,18.46,-69.3,83.0,20.0,5.82
369,kidal,Kidal,ML,62.97,18.44,1.41,19.0,0.0,6.64
370,illela,Illela,NG,71.79,12.39,4.75,62.0,0.0,2.39
371,maarianhamina,,,,,,,,
372,faya,Faya,SA,61.74,18.39,42.45,38.0,0.0,9.17
373,bambous virieux,Bambous Virieux,MU,79.18,-20.34,57.76,83.0,75.0,9.17
374,paamiut,Paamiut,GL,21.12,61.99,-49.67,100.0,68.0,15.7
375,nea peramos,Nea Peramos,GR,51.84,38.0,23.42,87.0,20.0,6.93
376,tacna,Tacna,PE,67.33,-18.01,-70.25,72.0,40.0,5.82
377,longyearbyen,Longyearbyen,NO,24.8,78.22,15.63,85.0,75.0,47.2
378,taoudenni,Taoudenni,ML,54.6,22.68,-3.98,23.0,8.0,6.08
379,sao filipe,Sao Filipe,CV,71.34,14.9,-24.5,96.0,88.0,11.56
380,alta floresta,Alta Floresta,BR,76.38,-9.87,-56.08,91.0,0.0,1.95
381,hwange,Hwange,ZW,73.05,-18.35,26.5,52.0,0.0,10.11
382,peleduy,Peleduy,RU,14.73,59.63,112.75,69.0,68.0,3.29
383,kirgiz-miyaki,Kirgiz-Miyaki,RU,24.27,53.63,54.8,82.0,68.0,2.17
384,turka,Turka,UA,37.0,49.16,23.03,73.0,88.0,5.19
385,telbang,Telbang,PH,85.83,16.17,120.06,78.0,0.0,8.55
386,walvis bay,Walvis Bay,NA,59.65,-22.95,14.51,87.0,8.0,6.93
387,jabiru,,,,,,,,
388,pangnirtung,Pangnirtung,CA,-29.11,66.15,-65.72,45.0,0.0,3.29
389,rockhampton,Rockhampton,AU,87.8,-23.38,150.51,58.0,75.0,4.7
390,salinopolis,Salinopolis,BR,77.64,-0.61,-47.36,100.0,44.0,5.97
391,turkistan,,,,,,,,
392,henties bay,Henties Bay,NA,60.01,-22.12,14.28,95.0,92.0,3.0
393,sur,Sur,OM,68.82,22.57,59.53,100.0,0.0,5.41
394,cabedelo,Cabedelo,BR,80.6,-6.97,-34.84,88.0,20.0,4.7
395,povoa de varzim,Povoa de Varzim,PT,52.21,41.38,-8.76,76.0,0.0,9.17
396,makinsk,Makinsk,KZ,10.95,52.63,70.42,69.0,8.0,6.64
397,belousovka,Belousovka,KZ,14.0,50.13,82.52,92.0,90.0,0.72
398,ruatoria,,,,,,,,
399,ambositra,Ambositra,MG,53.25,-20.53,47.24,93.0,0.0,2.62
400,port hardy,Port Hardy,CA,66.2,50.7,-127.42,34.0,40.0,8.05
401,tessalit,Tessalit,ML,52.62,20.2,1.01,27.0,0.0,4.41
402,jarjis,,,,,,,,
403,vila velha,Vila Velha,BR,77.43,-3.71,-38.6,94.0,20.0,6.42
404,yar-sale,Yar-Sale,RU,29.13,66.83,70.83,92.0,88.0,18.05
405,srednekolymsk,Srednekolymsk,RU,-2.74,67.46,153.71,61.0,32.0,3.18
406,trinidad,Trinidad,UY,60.54,-33.52,-56.9,72.0,80.0,10.45
407,koutiala,Koutiala,ML,81.42,12.39,-5.46,58.0,48.0,2.95
408,general elizardo aquino,General Elizardo Aquino,PY,73.14,-24.45,-56.9,94.0,64.0,7.2
409,hirara,Hirara,JP,75.25,24.8,125.28,78.0,40.0,14.99
410,jalu,Jalu,LY,57.57,29.03,21.55,35.0,36.0,3.4
411,taburi,,,,,,,,
412,asau,,,,,,,,
413,juneau,Juneau,US,56.17,58.3,-134.42,47.0,20.0,4.7
414,pangkalanbuun,Pangkalanbuun,ID,86.64,-2.68,111.62,86.0,0.0,5.64
415,vigrestad,Vigrestad,NO,43.52,58.57,5.7,93.0,75.0,13.87
416,constitucion,Constitucion,MX,71.6,23.99,-104.67,10.0,5.0,8.05
417,ihosy,Ihosy,MG,57.3,-22.4,46.13,90.0,8.0,2.62
418,sao bento,,,,,,,,
419,hanzhong,Hanzhong,CN,61.44,33.08,107.03,67.0,0.0,1.61
420,santa comba,Santa Comba,ES,48.24,43.03,-8.81,87.0,0.0,2.24
421,menongue,Menongue,AO,70.08,-14.66,17.68,45.0,8.0,2.95
422,klaksvik,Klaksvik,FO,41.0,62.23,-6.59,89.0,68.0,26.4
423,diego de almagro,Diego de Almagro,CL,59.46,-26.39,-70.05,87.0,0.0,2.28
424,yabelo,Yabelo,ET,68.55,4.89,38.09,51.0,0.0,7.76
425,hihifo,,,,,,,,
426,mrirt,,,,,,,,
427,road town,Road Town,VG,76.69,18.42,-64.62,65.0,40.0,10.29
428,westpunt,,,,,,,,
429,santarem,,,,,,,,
430,suao,,,,,,,,
431,ocala,Ocala,US,59.34,29.19,-82.14,72.0,90.0,12.75
432,maguyam,Maguyam,PH,86.81,14.26,121.01,58.0,20.0,6.93
433,ternate,Ternate,PH,86.81,14.29,120.72,58.0,20.0,6.93
434,kynsperk nad ohri,Kynsperk nad Ohri,CZ,30.25,50.12,12.53,86.0,0.0,2.24
435,kirkcudbright,Kirkcudbright,GB,47.5,54.84,-4.04,98.0,88.0,12.68
436,tongliao,Tongliao,CN,46.86,43.61,122.27,48.0,44.0,18.28
437,rodeo,Rodeo,MX,57.93,25.18,-104.56,45.0,36.0,5.64
438,artvin,Artvin,TR,44.6,41.18,41.83,87.0,0.0,4.7
439,bandarbeyla,Bandarbeyla,SO,76.92,9.49,50.81,100.0,92.0,9.66
440,ust-kamchatsk,,,,,,,,
441,sao gabriel da cachoeira,Sao Gabriel da Cachoeira,BR,76.38,-0.13,-67.09,94.0,44.0,2.62
442,senanga,Senanga,ZM,68.82,-16.1,23.3,64.0,24.0,3.74
443,harper,Harper,US,57.04,30.3,-99.24,58.0,90.0,8.05
444,nouadhibou,Nouadhibou,MR,64.4,20.93,-17.03,77.0,36.0,17.22
445,sibolga,Sibolga,ID,77.55,1.74,98.78,87.0,12.0,2.17
446,pitimbu,Pitimbu,BR,80.6,-7.47,-34.81,88.0,20.0,4.7
447,zarubino,Zarubino,RU,51.36,42.65,131.06,61.0,20.0,2.17
448,lishu,Lishu,CN,57.21,43.31,124.32,62.0,92.0,18.28
449,san rafael,San Rafael,AR,39.66,-34.61,-68.33,52.0,0.0,2.73
450,aitape,Aitape,PG,83.76,-3.15,142.36,85.0,44.0,11.01
451,yirol,,,,,,,,
452,luganville,Luganville,VU,85.2,-15.51,167.18,94.0,48.0,8.88
453,deputatskiy,Deputatskiy,RU,-4.27,69.3,139.9,62.0,0.0,3.96
454,caluquembe,Caluquembe,AO,57.48,-13.78,14.68,88.0,44.0,1.61
455,lander,Lander,US,40.64,42.83,-108.73,52.0,1.0,3.18
456,zhurivka,Zhurivka,UA,42.8,50.5,31.77,87.0,90.0,7.99
457,nouna,Nouna,BF,80.34,12.73,-3.87,55.0,80.0,3.4
458,ukiah,Ukiah,US,56.14,39.15,-123.21,43.0,92.0,1.61
459,kulhudhuffushi,Kulhudhuffushi,MV,83.85,6.62,73.07,100.0,0.0,6.2
460,hay river,Hay River,CA,59.0,60.82,-115.79,26.0,40.0,8.05
461,nerekhta,Nerekhta,RU,37.4,57.46,40.57,93.0,90.0,6.71
462,sciacca,Sciacca,IT,49.59,37.51,13.08,87.0,0.0,2.24
463,san ramon,San Ramon,NI,68.0,12.92,-85.84,72.0,0.0,1.99
464,manaure,Manaure,CO,78.09,11.78,-72.45,90.0,0.0,22.08
465,rodrigues alves,Rodrigues Alves,BR,76.38,-7.74,-72.65,94.0,36.0,3.62
466,riyaq,,,,,,,,
467,ketchikan,Ketchikan,US,58.44,55.34,-131.65,51.0,1.0,4.7
468,ratnagiri,Ratnagiri,IN,76.29,16.98,73.3,100.0,0.0,6.42
469,lianyuan,Lianyuan,CN,76.74,27.69,111.67,74.0,0.0,12.8
470,pisco,Pisco,PE,69.8,-13.71,-76.2,77.0,0.0,19.46
471,urdzhar,,,,,,,,
472,palabuhanratu,,,,,,,,
473,ziro,Ziro,IN,48.3,27.54,93.82,99.0,92.0,1.61
474,kokopo,Kokopo,PG,84.48,-4.34,152.27,94.0,36.0,2.17
475,saint-pierre,Saint-Pierre,FR,34.18,48.95,4.24,86.0,0.0,5.82
476,siderno,Siderno,IT,56.37,38.28,16.3,82.0,90.0,2.24
477,roma,Rome,IT,45.03,41.89,12.48,70.0,0.0,8.05
478,kendari,Kendari,ID,87.9,-3.99,122.52,81.0,8.0,3.62
479,novosokolniki,Novosokolniki,RU,31.83,56.35,30.15,84.0,76.0,14.03
480,aberlour,,,,,,,,
481,goundam,Goundam,ML,75.57,16.42,-3.66,26.0,8.0,12.12
482,billings,Billings,US,41.83,45.79,-108.5,39.0,1.0,6.93
483,sovetskiy,Sovetskiy,RU,32.55,56.76,48.47,95.0,88.0,11.45
484,wad rawah,Wad Rawah,SD,66.12,15.16,33.13,27.0,0.0,9.1
485,meulaboh,Meulaboh,ID,83.22,4.14,96.13,100.0,0.0,2.39
486,progreso,Progreso,UY,65.26,-34.68,-56.22,52.0,90.0,16.11
487,alice springs,Alice Springs,AU,91.4,-23.7,133.88,14.0,0.0,16.11
488,rajanpur,Rajanpur,PK,60.54,29.1,70.33,80.0,0.0,3.06
489,kanniyakumari,Kanniyakumari,IN,82.95,8.08,77.57,100.0,0.0,1.61
490,suamico,Suamico,US,37.94,44.63,-88.04,55.0,1.0,3.36
491,wellington,Wellington,NZ,69.35,-41.29,174.78,77.0,0.0,8.05
492,havoysund,Havoysund,NO,33.8,71.0,24.66,55.0,0.0,19.46
493,ampanihy,Ampanihy,MG,67.29,-24.69,44.75,92.0,0.0,2.73
494,olonets,Olonets,RU,32.37,60.98,32.97,98.0,88.0,2.73
495,kangalassy,Kangalassy,RU,-14.81,62.35,129.97,68.0,0.0,2.24
496,maun,Maun,BW,71.6,-19.99,23.42,49.0,0.0,3.36
497,agadez,Agadez,NE,69.72,16.97,7.99,34.0,68.0,4.29
498,shakiso,Shakiso,ET,51.36,5.77,38.9,77.0,0.0,2.51
499,noumea,Noumea,NC,84.2,-22.28,166.46,62.0,75.0,11.41
500,codajas,Codajas,BR,79.44,-3.84,-62.06,86.0,20.0,3.74
501,ilulissat,Ilulissat,GL,-11.21,69.22,-51.1,63.0,0.0,16.11
502,muzhi,Muzhi,RU,29.94,65.4,64.7,83.0,76.0,12.24
503,upata,Upata,VE,76.11,8.02,-62.41,63.0,0.0,8.21
504,carutapera,Carutapera,BR,77.37,-1.2,-46.02,97.0,76.0,5.08
505,alice town,Alice Town,BS,69.81,25.72,-79.3,100.0,92.0,24.76
506,lasa,Lasa,CY,50.88,34.92,32.53,93.0,20.0,5.82
507,gorno-chuyskiy,,,,,,,,
508,solnechnyy,Solnechnyy,RU,19.95,50.72,136.64,69.0,0.0,6.42
509,miraflores,Miraflores,CO,53.16,5.2,-73.14,95.0,24.0,1.39
510,mayo,Mayo,CA,48.2,63.59,-135.9,57.0,90.0,2.24
511,sinop,Sinop,TR,45.87,42.03,35.15,94.0,0.0,10.33
512,pangody,Pangody,RU,22.47,65.85,74.49,86.0,88.0,16.49
513,umzimvubu,,,,,,,,
514,santiago,Santiago,CL,68.34,-33.44,-70.65,74.0,0.0,10.29
515,valentin gomez farias,Valentin Gomez Farias,MX,71.6,24.05,-104.7,10.0,5.0,8.05
516,nguiu,,,,,,,,
517,rio grande,Rio Grande,BR,68.55,-32.03,-52.1,93.0,92.0,12.24
518,bang mun nak,Bang Mun Nak,TH,82.68,16.03,100.38,77.0,48.0,4.63
519,paita,Paita,PE,77.64,-5.09,-81.11,77.0,92.0,4.74
520,sambava,Sambava,MG,81.15,-14.27,50.17,100.0,56.0,10.33
521,margate,Margate,AU,66.45,-43.03,147.26,82.0,75.0,6.93
522,sirvintos,Sirvintos,LT,33.64,55.05,24.95,86.0,90.0,10.29
523,ibra,Ibra,OM,51.99,22.69,58.55,95.0,0.0,1.39
524,one hundred mile house,,,,,,,,
525,sept-iles,Sept-Iles,CA,7.59,50.2,-66.38,84.0,5.0,4.7
526,virginia beach,Virginia Beach,US,40.77,36.85,-75.98,60.0,20.0,5.82
527,san quintin,San Quintin,PH,85.92,17.54,120.52,56.0,0.0,1.39
528,nizhniy kuranakh,Nizhniy Kuranakh,RU,11.76,58.84,125.49,59.0,56.0,3.62
529,puerto narino,Puerto Narino,CO,78.8,-3.77,-70.38,100.0,75.0,3.74
530,miroslava,Miroslava,RO,42.44,47.15,27.53,87.0,90.0,13.87
531,gidam,Gidam,IN,75.39,18.98,81.4,76.0,8.0,3.96
532,whitehorse,Whitehorse,CA,53.83,60.72,-135.06,37.0,75.0,9.17
533,nisia floresta,Nisia Floresta,BR,80.6,-6.09,-35.21,83.0,20.0,3.36
534,palmdale,Palmdale,US,59.04,34.58,-118.12,67.0,1.0,11.41
535,dunedin,Dunedin,NZ,61.0,-45.87,170.5,81.0,0.0,1.99
536,muisne,Muisne,EC,70.53,0.61,-80.02,91.0,24.0,2.73
537,general teran,General Teran,MX,54.42,25.27,-99.68,94.0,64.0,2.62
538,the valley,The Valley,AI,77.88,18.22,-63.06,69.0,75.0,16.11
539,batemans bay,Batemans Bay,AU,74.48,-35.71,150.18,71.0,68.0,3.0
540,turtkul,,,,,,,,
541,flin flon,Flin Flon,CA,32.1,54.77,-101.88,95.0,0.0,4.18
542,san cristobal,San Cristobal,EC,51.57,-0.39,-78.55,87.0,90.0,4.7
543,kyrylivka,Kyrylivka,UA,29.94,47.65,37.3,89.0,0.0,4.29
544,hambantota,Hambantota,LK,71.6,6.12,81.12,100.0,5.0,1.12
545,hovd,Hovd,NO,39.04,63.83,10.7,86.0,90.0,11.41
546,iroquois falls,Iroquois Falls,CA,33.8,48.76,-80.69,50.0,90.0,5.82
547,saint-andre-les-vergers,Saint-Andre-les-Vergers,FR,33.06,48.29,4.05,75.0,0.0,4.18
548,biak,Biak,ID,88.71,-0.91,122.88,67.0,12.0,1.95
549,sitka,Sitka,US,46.0,37.17,-99.65,59.0,92.0,8.21
550,albury,Albury,AU,83.17,-36.08,146.92,45.0,8.0,4.7
551,cockburn town,Cockburn Town,TC,78.54,21.46,-71.14,97.0,0.0,13.35
552,jumla,Jumla,NP,28.68,29.28,82.18,78.0,0.0,1.95
553,thornhill,Thornhill,GB,48.4,55.24,-3.77,93.0,75.0,4.7
554,tiznit,Tiznit,MA,55.05,29.7,-9.73,89.0,0.0,1.28
555,sainte-maxime,Sainte-Maxime,FR,41.02,43.31,6.64,80.0,0.0,4.7
556,ust-barguzin,Ust-Barguzin,RU,21.75,53.41,109.03,64.0,8.0,2.95
557,medicine hat,Medicine Hat,CA,50.58,50.04,-110.68,66.0,20.0,10.29
558,bayan,Bayan,MN,17.07,47.25,107.54,50.0,20.0,9.66
559,lichtenburg,Lichtenburg,ZA,67.47,-26.15,26.16,37.0,48.0,5.86
560,quatre cocos,Quatre Cocos,MU,79.27,-20.21,57.76,83.0,75.0,9.17
561,utiroa,,,,,,,,
562,koungou,,,,,,,,
563,mount pleasant,Mount Pleasant,US,59.56,33.16,-94.97,39.0,1.0,3.36
564,ulaangom,Ulaangom,MN,12.84,49.98,92.07,72.0,64.0,2.73
565,baruun-urt,Baruun-Urt,MN,23.1,46.68,113.28,51.0,88.0,16.26
566,szubin,Szubin,PL,31.68,53.01,17.74,92.0,20.0,4.7
567,arlit,Arlit,NE,73.77,18.74,7.39,52.0,64.0,3.06
568,tevaitoa,Tevaitoa,PF,84.12,-16.78,-151.5,100.0,76.0,8.77
569,catamarca,,,,,,,,
570,namatanai,Namatanai,PG,85.02,-3.66,152.44,97.0,12.0,3.06
571,bolungarvik,,,,,,,,
572,formosa,Formosa,AR,75.2,-26.19,-58.17,83.0,0.0,2.24
573,auki,Auki,NG,68.64,12.18,6.51,51.0,0.0,2.39
574,maiduguri,Maiduguri,NG,70.53,11.84,13.15,29.0,0.0,9.1
575,karaul,,,,,,,,
576,touros,Touros,BR,80.6,-5.2,-35.46,88.0,20.0,2.24
577,isernia,Isernia,IT,47.61,41.6,14.24,87.0,75.0,6.93
578,fairbanks,Fairbanks,US,28.54,64.84,-147.72,63.0,1.0,8.05
579,tak,Tak,TH,75.2,16.87,99.12,73.0,20.0,1.95
580,kalbay,Kalbay,PH,80.6,5.72,125.5,78.0,75.0,4.7
581,iraquara,Iraquara,BR,78.54,-12.24,-41.62,60.0,92.0,4.41
582,lakselv,Lakselv,NO,22.39,70.05,24.96,67.0,8.0,26.4
583,zhezkazgan,Zhezkazgan,KZ,12.2,47.8,67.71,85.0,24.0,13.42
584,pacific grove,Pacific Grove,US,57.13,36.62,-121.92,55.0,1.0,11.41
585,cairns,Cairns,AU,75.96,-16.92,145.77,88.0,90.0,14.99
586,dongzhen,Dongzhen,CN,61.08,43.33,129.73,40.0,80.0,6.2
587,williams lake,Williams Lake,CA,41.64,52.13,-122.14,60.0,0.0,3.74
588,astana,Astana,KZ,6.8,51.13,71.43,84.0,0.0,13.42
589,angoram,Angoram,PG,86.82,-4.06,144.07,80.0,48.0,3.85
590,nizwa,Nizwa,OM,47.13,22.93,57.53,67.0,0.0,3.06
591,luanda,Luanda,AO,78.8,-8.83,13.24,88.0,75.0,3.36
592,pilar,Pilar,AR,58.6,-34.46,-58.91,77.0,0.0,4.7
593,sotouboua,Sotouboua,TG,76.92,8.56,0.98,70.0,0.0,6.98
594,ghanzi,Ghanzi,BW,68.1,-21.7,21.65,72.0,32.0,2.73
595,troitsko-pechorsk,Troitsko-Pechorsk,RU,33.27,62.71,56.19,92.0,88.0,7.2
596,chilca,Chilca,PE,51.8,-13.22,-72.34,76.0,92.0,3.36
597,dolgoye,Dolgoye,RU,33.9,52.06,37.53,92.0,92.0,3.29
598,olovyannaya,Olovyannaya,RU,29.04,50.94,115.59,36.0,48.0,3.62
599,timra,Timra,SE,17.67,62.49,17.33,92.0,76.0,3.36
600,louisbourg,,,,,,,,
601,kailua,Kailua,US,76.6,21.39,-157.74,78.0,90.0,10.29
602,salinas,Salinas,US,57.06,36.67,-121.66,67.0,1.0,20.8
603,rio gallegos,Rio Gallegos,AR,48.2,-51.62,-69.22,70.0,0.0,10.29
604,matagami,Matagami,NG,62.79,9.67,8.4,65.0,0.0,1.28
605,dudinka,Dudinka,RU,17.43,69.41,86.18,83.0,88.0,9.78
